Event,Px,Py,Pz,Tot-OpAbs,Cerenkov,compt,CoupledTransportation,eBrem,eIon,msc,muIoni,OpAbsorption,phot,NOfOptPhotons,NOfScintPhotons
7030,-0.997489,-0.0486138,0.051505,10946.6,9122.71,0.0,272.782,0.0,410.169,1140.98,0.0,367.958,0.0,14428,111479
7031,-0.95836,-0.0747285,-0.275613,6078.12,5410.46,0.0,440.105,0.0,108.307,119.245,0.0,204.613,0.0,8308,62191
7032,-0.993656,-0.0698302,-0.0881528,11048.9,10610.7,0.0,219.583,0.0,148.997,69.6233,0.0,370.778,0.0,14572,112425
7033,-0.0772922,0.551487,-0.830595,2726.39,2262.77,0.0,282.06,0.0,75.1089,0.0,106.444,89.0451,0.0,4266,27778
7034,-0.228264,-0.69924,0.677465,3403.07,2998.43,0.0,404.641,0.0,0.0,0.0,0.0,112.055,0.0,5107,34638
7035,0.116389,-0.0154424,-0.993084,2161.66,1865.6,0.0,296.058,0.0,0.0,0.0,0.0,66.5389,0.0,4503,22062
7036,-0.84107,-0.540713,0.0151554,15422.5,12321.0,0.0,1000.84,0.0,271.749,1555.85,273.122,516.591,0.0,20055,156329
7037,0.626352,0.514112,-0.58598,4127.68,3576.27,0.0,207.531,0.0,148.963,194.914,0.0,137.828,0.0,5825,42111
7038,0.528784,-0.28909,0.798007,2961.66,2652.43,0.0,309.231,0.0,0.0,0.0,0.0,97.6467,0.0,4454,30169
7039,-0.176861,-0.869727,-0.460755,3973.79,3566.23,0.0,407.556,0.0,0.0,0.0,0.0,132.891,0.0,5584,40608
7040,0.254289,-0.126021,0.958882,2520.51,2269.58,0.0,250.929,0.0,0.0,0.0,0.0,79.1136,0.0,4855,25641
7041,-0.753933,-0.513557,0.409689,4548.6,4330.07,0.0,218.531,0.0,0.0,0.0,0.0,152.123,0.0,6402,46564
7042,-0.00453395,-0.498369,0.866953,2811.39,2255.16,0.0,254.979,0.0,147.037,154.216,0.0,90.458,0.0,4761,28682
7043,-0.205634,0.875227,0.437827,6669.16,4835.09,0.0,306.937,0.0,411.131,916.368,199.632,221.09,0.0,9664,68192
7044,-0.0984597,-0.994253,-0.0420416,10488.6,9786.53,0.0,702.065,0.0,0.0,0.0,0.0,351.08,0.0,13876,106718
7045,0.034931,-0.965581,-0.257746,8398.28,8116.62,0.0,281.656,0.0,0.0,0.0,0.0,282.086,0.0,11192,85672
7046,0.76488,-0.193926,-0.61429,3496.57,3387.15,0.0,109.416,0.0,0.0,0.0,0.0,116.366,0.0,5042,35714
7047,-0.415364,-0.5532,0.72211,2732.75,2584.05,0.0,148.698,0.0,0.0,0.0,0.0,90.5889,0.0,4081,27979
7048,-0.948657,0.0516648,0.312059,7285.61,6224.46,0.0,280.513,0.0,313.836,421.28,45.524,243.658,0.0,9904,74363
7049,-0.72695,-0.279097,0.627414,3469.61,3120.13,0.0,349.483,0.0,0.0,0.0,0.0,114.895,0.0,5157,35383
7050,0.809083,-0.219304,-0.545243,3964.54,3338.46,0.0,206.617,0.0,147.587,271.876,0.0,131.668,0.0,5676,40467
7051,0.373948,-0.825759,0.422237,5106.31,4966.35,0.0,139.955,0.0,0.0,0.0,0.0,170.053,0.0,7160,52135
7052,0.485919,0.41416,0.769645,3614.0,2550.61,0.0,155.321,0.0,292.228,364.598,251.252,118.429,0.0,5573,36789
7053,-0.326765,-0.493452,-0.806058,2787.71,2423.25,0.0,364.461,0.0,0.0,0.0,0.0,91.5001,0.0,4267,28409
7054,0.740717,-0.302864,0.599676,4386.24,4051.17,0.0,217.928,0.0,91.1997,25.949,0.0,144.999,0.0,6430,44611
7055,-0.0325834,0.0323542,0.998945,2378.37,1757.71,0.0,620.661,0.0,0.0,0.0,0.0,74.2979,0.0,4710,24276
7056,-0.0107441,-0.771747,-0.635838,3109.68,2739.16,0.0,370.515,0.0,0.0,0.0,0.0,103.81,0.0,4499,31774
7057,0.162802,0.936105,0.311774,5674.57,5640.71,0.0,33.8616,0.0,0.0,0.0,0.0,190.469,0.0,7765,58018
7058,0.347574,0.867088,-0.356864,5376.59,5223.44,0.0,153.146,0.0,0.0,0.0,0.0,179.292,0.0,7533,54871
7059,0.160165,0.986638,0.029869,11422.6,9059.07,0.0,984.118,0.0,442.809,936.608,0.0,382.558,0.0,15199,116231
7060,0.76021,0.376952,0.529139,3778.53,3368.17,0.0,225.324,0.0,147.965,37.0731,0.0,125.496,0.0,5477,38581
7061,-0.800368,0.134419,0.584245,3614.97,3161.49,0.0,453.473,0.0,0.0,0.0,0.0,119.834,0.0,5226,36890
7062,-0.679965,-0.357485,-0.640197,3228.21,2965.53,0.0,262.676,0.0,0.0,0.0,0.0,107.459,0.0,4742,32995
7063,0.617089,0.786802,0.0119625,14242.9,13561.6,0.0,64.4263,0.0,141.878,221.435,253.542,478.016,0.0,18420,144489
7064,-0.760082,0.623866,-0.181844,14166.2,11826.6,0.0,1291.54,0.0,297.523,750.56,0.0,475.673,0.0,18412,144002
7065,-0.292613,-0.105071,0.950441,2925.06,2524.36,0.0,400.699,0.0,0.0,0.0,0.0,91.0248,0.0,5654,29715
7066,-0.737297,0.460931,-0.493898,4961.13,4168.91,0.0,453.565,0.0,21.2122,178.548,138.886,164.462,0.0,7038,50515
7067,-0.0569126,0.0664844,-0.996163,2271.87,1699.87,0.0,571.995,0.0,0.0,0.0,0.0,67.1185,0.0,5416,23145
7068,-0.70208,-0.0865724,-0.706816,3039.99,2935.53,0.0,104.459,0.0,0.0,0.0,0.0,100.037,0.0,4632,31042
7069,0.446232,0.300629,0.842911,2744.85,2581.66,0.0,163.194,0.0,0.0,0.0,0.0,89.115,0.0,4360,27935
7070,0.371209,0.402048,-0.836995,2738.62,2404.31,0.0,334.309,0.0,0.0,0.0,0.0,89.0677,0.0,4361,27939
7071,0.0887562,-0.749584,0.655931,3977.9,3147.78,0.0,681.449,0.0,139.711,8.95859,0.0,132.342,0.0,5826,40685
7072,0.0149378,-0.857512,0.514247,3949.03,3541.63,0.0,407.394,0.0,0.0,0.0,0.0,130.746,0.0,5676,40337
7073,0.885847,0.422411,0.191947,11754.7,10434.4,0.0,104.43,0.0,0.0,1080.78,135.052,394.796,0.0,15432,119565
7074,-0.311464,-0.734647,0.60273,3798.34,3213.44,0.0,584.904,0.0,0.0,0.0,0.0,125.066,0.0,5530,38723
7075,0.0847518,0.403463,-0.911062,2174.77,1831.55,0.0,343.221,0.0,0.0,0.0,0.0,70.0012,0.0,3736,22246
7076,-0.177715,0.441675,0.879398,3576.39,2863.89,0.0,266.125,0.0,149.015,297.363,0.0,116.376,0.0,5808,36542
7077,0.676517,-0.224869,0.701256,3118.97,2927.34,0.0,191.638,0.0,0.0,0.0,0.0,103.281,0.0,4646,31826
7078,-0.298334,-0.598244,-0.743708,2757.09,2404.19,0.0,352.902,0.0,0.0,0.0,0.0,91.3539,0.0,4140,28151
7079,-0.923661,-0.319191,-0.212057,7485.68,7239.0,0.0,246.679,0.0,0.0,0.0,0.0,251.018,0.0,10107,76447
7080,-0.300924,0.837826,-0.455513,4635.31,4205.68,0.0,143.847,0.0,108.54,177.245,0.0,154.064,0.0,6621,47335
7081,0.338673,0.788382,-0.513569,4397.95,4138.57,0.0,259.376,0.0,0.0,0.0,0.0,145.967,0.0,6319,44765
7082,0.871598,-0.413464,0.263371,7489.38,6546.84,0.0,292.928,0.0,0.0,41.6501,607.963,252.233,0.0,9933,76520
7083,0.679774,-0.717975,0.149727,17401.9,14508.9,0.0,811.701,0.0,423.234,1657.98,0.0,583.214,0.0,22905,176722
7084,0.732048,0.551523,-0.399909,5807.64,4589.27,0.0,265.467,0.0,142.044,500.912,309.949,194.087,0.0,8036,59257
7085,-0.809803,0.573958,0.121623,15883.9,13125.5,0.0,1779.06,0.0,159.779,819.509,0.0,533.189,0.0,20480,161013
7086,0.481703,-0.874887,-0.0503551,11900.3,10957.0,0.0,107.533,0.0,285.065,550.699,0.0,400.074,0.0,15575,121343
7087,0.533873,0.687875,0.49174,3969.05,3661.14,0.0,307.914,0.0,0.0,0.0,0.0,132.173,0.0,5709,40623
7088,0.556733,0.632966,0.537962,3841.08,3735.45,0.0,105.624,0.0,0.0,0.0,0.0,127.497,0.0,5539,39214
7089,-0.982194,-0.165617,-0.0886942,12347.7,10956.8,0.0,763.303,0.0,148.804,478.756,0.0,414.468,0.0,16190,125341
