Event,Tot,Cerenkov,compt,CoupledTransportation,eBrem,eIon,msc,muIoni,OpAbsorption,phot,NOfOptPhotons
574,1737.22,1712.39,0,24.8357,0.0,0.0,0.0,0.0,227.831,0.0,7080
575,1694.28,1669.39,0,24.891,0.0,0.0,0.0,0.0,220.717,0.0,7434
576,1740.4,1701.29,0,39.1112,0.0,0.0,0.0,0.0,226.305,0.0,7550
577,2383.4,2097.21,0,86.9748,0.0,103.635,95.5885,0.0,304.187,0.0,11629
578,1702.69,1681.25,0,21.4391,0.0,0.0,0.0,0.0,224.171,0.0,6756
579,1555.86,1532.04,0,23.8241,0.0,0.0,0.0,0.0,201.312,0.0,7049
580,1581.45,1560.54,0,20.9056,0.0,0.0,0.0,0.0,206.073,0.0,6863
581,1593.92,1569.83,0,24.0876,0.0,0.0,0.0,0.0,208.806,0.0,6689
582,1687.69,1664.7,0,22.9837,0.0,0.0,0.0,0.0,220.965,0.0,7048
583,1665.88,1631.05,0,34.825,0.0,0.0,0.0,0.0,211.469,0.0,8515
584,2851.21,2531.39,0,260.415,0.0,0.0,59.3976,0.0,376.977,0.0,10857
585,1904.01,1882.82,0,21.1881,0.0,0.0,0.0,0.0,249.46,0.0,7648
586,1597.19,1575.24,0,21.9551,0.0,0.0,0.0,0.0,208.938,0.0,6701
587,1597.14,1574.78,0,22.3625,0.0,0.0,0.0,0.0,203.914,0.0,8160
588,2723.16,2136.5,0,140.493,0.0,102.951,40.2161,302.998,363.271,0.0,9467
589,2088.74,2065.39,0,23.3535,0.0,0.0,0.0,0.0,271.759,0.0,8603
590,1511.31,1491.38,0,19.9275,0.0,0.0,0.0,0.0,195.061,0.0,7129
591,1844.71,1824.1,0,20.6128,0.0,0.0,0.0,0.0,234.288,0.0,9550
592,1703.23,1684.51,0,18.7233,0.0,0.0,0.0,0.0,222.808,0.0,7109
593,1642.89,1623.63,0,19.2574,0.0,0.0,0.0,0.0,214.574,0.0,6990
594,1713.28,1685.79,0,27.4956,0.0,0.0,0.0,0.0,225.186,0.0,7018
595,1424.04,1393.91,0,30.1345,0.0,0.0,0.0,0.0,184.907,0.0,6453
