Event,Tot,Cerenkov,compt,CoupledTransportation,eBrem,eIon,msc,muIoni,OpAbsorption,phot,NOfOptPhotons
0,6381.98,5382.35,0,345.631,0.0,206.96,447.039,0.0,920.396,0.0,1857
1,5571.16,5542.62,0,28.5355,0.0,0.0,0.0,0.0,794.876,0.0,3315
2,5900.06,5328.73,0,230.039,0.0,106.671,234.618,0.0,847.017,0.0,2076
3,5762.57,5302.47,0,285.722,0.0,99.6917,74.6862,0.0,829.343,0.0,1702
4,5733.66,5695.51,0,38.1526,0.0,0.0,0.0,0.0,824.141,0.0,1997
5,5638.74,5180.24,0,57.1718,0.0,106.662,294.662,0.0,810.208,0.0,1547
6,5478.2,5407.72,0,70.4885,0.0,0.0,0.0,0.0,787.895,0.0,1560
7,5908.64,5437.67,0,148.378,0.0,106.663,215.933,0.0,849.04,0.0,1945
8,5765.42,5198.44,0,134.898,0.0,97.6071,334.484,0.0,827.396,0.0,2237
9,5430.03,5383.06,0,46.9749,0.0,0.0,0.0,0.0,780.908,0.0,1534
10,5414.37,5332.08,0,82.2817,0.0,0.0,0.0,0.0,779.565,0.0,1553
11,6595.48,5820.64,0,416.842,11.6166,192.944,153.148,0.0,946.604,0.288,2837
12,5401.25,5355.48,0,45.7746,0.0,0.0,0.0,0.0,772.749,0.0,2606
13,6953.25,5958.95,0,304.973,0.0,209.697,479.631,0.0,1000.9,0.0,2009
14,5409.61,5375.4,0,34.2096,0.0,0.0,0.0,0.0,779.037,0.0,1428
15,5534.25,5472.62,0,61.6244,0.0,0.0,0.0,0.0,795.298,0.0,1437
16,6792.17,6123.32,0,38.0559,0.0,212.61,418.189,0.0,977.399,0.0,1907
17,5638.43,5559.56,0,78.8675,0.0,0.0,0.0,0.0,810.962,0.0,1832
18,5420.23,5337.62,0,82.6069,0.0,0.0,0.0,0.0,778.415,0.0,1965
19,5287.04,5202.66,0,84.3871,0.0,0.0,0.0,0.0,760.241,0.0,1811
20,5478.01,5430.53,0,47.4794,0.0,0.0,0.0,0.0,788.047,0.0,1501
