Event,Px,Py,Pz,Tot,Cerenkov,compt,CoupledTransportation,eBrem,eIon,msc,muIoni,OpAbsorption,phot,NOfOptPhotons
2400,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2401,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2402,0.0,0.0,-1.0,662.0,456.413,0.0,0.0,0.0,203.317,0,0.0,11.8851,2.27,17574
2403,0.0,0.0,-1.0,307.614,205.948,0.0,0.0,0.0,101.667,0,0.0,5.62226,0.0,8260
2404,0.0,0.0,-1.0,92.7413,0.0,0.0,0.0,0.0,92.7413,0,0.0,1.70177,0.0,2429
2405,0.0,0.0,-1.0,662.0,520.066,0.0,0.0,0.0,78.6143,0,0.0,12.3814,63.32,17541
2406,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2407,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2408,0.0,0.0,-1.0,150.542,50.902,0.0,0.0,0.0,99.6404,0,0.0,2.84963,0.0,3946
2409,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2410,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2411,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2412,0.0,0.0,-1.0,662.0,217.867,0.0,0.0,63.1888,254.304,0,0.0,12.5015,126.64,17454
2413,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2414,0.0,0.0,-1.0,270.891,14.4522,0.0,0.217458,0.0,101.078,0,91.8233,4.91564,63.32,7177
2415,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2416,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2417,0.0,0.0,-1.0,662.0,496.757,0.0,0.0,0.0,101.923,0,0.0,12.0453,63.32,17613
2418,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2419,0.0,0.0,-1.0,662.0,398.629,0.0,0.0,0.0,200.051,0,0.0,12.6183,63.32,17520
