Event,Px,Py,Pz,Tot,Cerenkov,compt,CoupledTransportation,eBrem,eIon,msc,muIoni,OpAbsorption,phot,NOfOptPhotons
58,0.0,0.0,-1.0,471.865,411.907,0,0.0,0.0,59.9585,0,0.0,2.21048,0.0,14760
59,0.0,0.0,-1.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
60,0.0,0.0,-1.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
61,0.0,0.0,-1.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
62,0.0,0.0,-1.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
63,0.0,0.0,-1.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
64,0.0,0.0,-1.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
65,0.0,0.0,-1.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
66,0.0,0.0,-1.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
67,0.0,0.0,-1.0,51.1742,0.0,0,0.0,0.0,51.1742,0,0.0,0.283527,0.0,1598
68,0.0,0.0,-1.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
69,0.0,0.0,-1.0,497.665,299.922,0,0.0,0.0,197.744,0,0.0,2.47657,0.0,15806
70,0.0,0.0,-1.0,662.0,480.247,0,0.0,0.0,170.877,0,0.0,3.21959,10.876,20668
71,0.0,0.0,-1.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
72,0.0,0.0,-1.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
73,0.0,0.0,-1.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
74,0.0,0.0,-1.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
75,0.0,0.0,-1.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
76,0.0,0.0,-1.0,155.441,90.7486,0,0.0,0.0,64.6925,0,0.0,0.550506,0.0,5001
77,0.0,0.0,-1.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
78,0.0,0.0,-1.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
79,0.0,0.0,-1.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
80,0.0,0.0,-1.0,306.864,249.012,0,0.0,0.0,57.8526,0,0.0,1.38323,0.0,9692
81,0.0,0.0,-1.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
82,0.0,0.0,-1.0,189.97,88.9356,0,0.0,0.0,101.035,0,0.0,0.91051,0.0,5927
83,0.0,0.0,-1.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
84,0.0,0.0,-1.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
85,0.0,0.0,-1.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
86,0.0,0.0,-1.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
87,0.0,0.0,-1.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
88,0.0,0.0,-1.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
89,0.0,0.0,-1.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
90,0.0,0.0,-1.0,455.332,353.457,0,0.0,0.0,101.875,0,0.0,2.24069,0.0,14323
91,0.0,0.0,-1.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
92,0.0,0.0,-1.0,116.517,14.4872,0,0.0,0.0,102.03,0,0.0,0.590846,0.0,3650
93,0.0,0.0,-1.0,470.651,368.916,0,0.0,0.0,101.735,0,0.0,2.34546,0.0,14564
94,0.0,0.0,-1.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
95,0.0,0.0,-1.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
96,0.0,0.0,-1.0,469.784,398.991,0,0.0,0.0,70.7931,0,0.0,1.8894,0.0,15065
97,0.0,0.0,-1.0,434.787,333.595,0,0.0,0.0,101.192,0,0.0,2.24983,0.0,13522
98,0.0,0.0,-1.0,662.0,439.149,0,0.0,0.0,159.531,0,0.0,3.03952,63.32,20906
99,0.0,0.0,-1.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
100,0.0,0.0,-1.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
