Event,Px,Py,Pz,Tot-OpAbs,Cerenkov,compt,CoupledTransportation,eBrem,eIon,msc,muIoni,OpAbsorption,phot,NOfOptPhotons,NOfScintPhotons
3002,0.989265,-0.00134245,0.146128,11728.1,10104.6,0.0,569.778,0.0,296.061,757.707,0.0,381.889,0.0,18747,119515
3003,-0.907882,0.271845,-0.319141,6068.89,5892.26,0.0,176.624,0.0,0.0,0.0,0.0,197.272,0.0,9989,62034
3004,-0.852629,0.522387,-0.0116446,11414.2,10463.1,0.0,498.651,0.0,118.231,334.216,0.0,369.749,0.0,18601,116105
3005,0.80075,-0.468597,0.373117,5193.42,4686.95,0.0,251.372,0.0,148.679,106.423,0.0,167.557,0.0,8837,53031
3006,-0.557752,-0.224733,-0.799005,2595.55,2245.09,0.0,350.468,0.0,0.0,0.0,0.0,82.3537,0.0,4738,26472
3007,0.0846315,-0.725083,0.683441,3269.88,2915.11,0.0,354.77,0.0,0.0,0.0,0.0,104.536,0.0,5763,33366
3008,0.583599,0.519675,0.623979,3986.7,2471.09,0.0,289.872,0.0,288.531,847.169,90.0343,127.794,0.0,6974,40639
3009,-0.695681,-0.0972135,0.711742,2751.33,2580.9,0.0,170.433,0.0,0.0,0.0,0.0,88.2516,0.0,4862,28132
3010,-0.310342,-0.925013,0.219176,11527.8,10307.8,0.0,516.307,0.0,297.017,406.709,0.0,372.924,0.0,18559,116983
3011,0.572312,0.57479,0.584872,3285.38,2921.94,0.0,363.437,0.0,0.0,0.0,0.0,105.383,0.0,5728,33622
3012,0.7669,0.350045,0.537897,3390.06,3363.98,0.0,26.0849,0.0,0.0,0.0,0.0,108.93,0.0,5850,34739
3013,0.800248,-0.5936,-0.0851016,9638.39,9451.34,0.0,187.053,0.0,0.0,0.0,0.0,313.48,0.0,15424,98340
3014,-0.836868,-0.501307,0.219873,10060.7,8117.08,0.0,623.788,0.0,138.367,564.096,617.332,326.974,0.0,16263,102468
3015,-0.0665256,-0.960985,-0.26848,7646.02,6203.7,0.0,79.0409,0.0,289.515,1052.01,21.7535,246.276,0.0,12941,78021
3016,0.861805,-0.0291045,-0.506404,4825.14,4150.7,0.0,253.055,0.0,148.432,111.212,161.733,155.789,0.0,8112,49292
3017,0.144981,0.926084,0.348353,5180.03,5033.29,0.0,146.734,0.0,0.0,0.0,0.0,168.821,0.0,8561,53053
3018,-0.737066,0.674456,-0.0429205,10725.1,9839.93,0.0,606.657,0.0,146.301,132.167,0.0,346.708,0.0,17530,109204
3019,-0.732354,-0.367258,-0.573393,4398.1,3508.89,0.0,47.1098,0.0,285.785,556.312,0.0,141.085,0.0,7615,44959
3020,0.107706,0.907041,0.407033,5601.93,4435.46,0.0,106.225,99.4376,263.996,696.815,0.0,180.608,0.0,9505,57095
3021,-0.348645,0.823936,-0.44674,4259.44,3978.32,0.0,269.685,0.0,6.53347,0.0,4.90612,137.638,0.0,7196,43623
3022,-0.674954,-0.714249,0.185164,9784.04,9002.6,0.0,121.029,0.0,148.554,460.057,51.7974,318.312,0.0,15840,99821
3023,0.152981,0.795478,0.586354,4141.02,3381.8,0.0,25.9911,0.0,148.997,71.9304,512.3,133.537,0.0,7153,42437
3024,-0.893906,-0.3132,0.320683,7933.15,6195.29,0.0,335.785,56.2074,207.602,469.862,668.116,256.991,0.288,13234,81042
3025,-0.0487465,-0.656721,-0.752556,2442.4,2088.47,0.0,353.932,0.0,0.0,0.0,0.0,77.8501,0.0,4438,24990
3026,-0.67474,-0.298285,0.675094,3048.52,2777.03,0.0,271.486,0.0,0.0,0.0,0.0,97.586,0.0,5399,31137
3027,-0.65263,0.0403724,0.7566,2787.42,2215.17,0.0,275.705,0.0,0.0,8.72004,287.822,88.8884,0.0,5089,28646
3028,-0.630629,0.705039,-0.324388,6569.13,5835.53,0.0,363.328,0.0,148.902,57.393,163.969,213.552,0.0,10799,67170
3029,-0.784904,-0.243553,0.569744,3350.84,3189.47,0.0,161.365,0.0,0.0,0.0,0.0,108.717,0.0,5670,34278
3030,0.854683,-0.472126,-0.215904,10175.9,9947.44,0.0,44.1172,0.0,144.254,40.0392,0.0,330.593,0.0,16472,103711
3031,0.18448,0.935886,0.30014,6227.46,5419.85,0.0,86.7468,0.0,107.166,358.864,254.834,202.171,0.0,10163,63546
3032,-0.958275,0.25147,-0.135913,11847.4,10496.3,0.0,46.4404,0.0,297.755,1006.9,0.0,384.565,0.0,19018,120523
3033,0.0851951,-0.890339,-0.447256,5146.01,3959.14,0.0,228.363,0.0,297.89,660.621,0.0,166.884,0.0,8657,52527
3034,-0.348934,0.147943,0.925396,2042.74,1742.36,0.0,300.379,0.0,0.0,0.0,0.0,63.2819,0.0,4157,20909
3035,-0.676187,0.239951,-0.696559,3651.49,2944.49,0.0,199.988,0.0,148.924,358.088,0.0,115.7,0.0,6647,37186
3036,-0.918299,-0.30353,0.25416,7188.86,6925.63,0.0,263.237,0.0,0.0,0.0,0.0,233.097,0.0,11915,73467
3037,0.404797,-0.645814,-0.647351,3166.5,2988.96,0.0,177.541,0.0,0.0,0.0,0.0,101.294,0.0,5618,32327
3038,-0.75646,0.653917,-0.012661,12767.8,9901.05,0.0,1123.73,0.0,370.739,1130.64,241.596,413.452,0.0,20435,129587
3039,-0.861005,0.494105,-0.120544,10216.9,10098.3,0.0,118.629,0.0,0.0,0.0,0.0,331.014,0.0,16574,104032
3040,0.940207,-0.277026,-0.198158,10221.6,9131.76,0.0,626.447,0.0,297.852,164.345,1.23488,332.22,0.0,16445,104199
3041,-0.999962,0.00653519,0.00579458,13626.6,11090.9,0.0,1478.68,0.0,266.596,790.406,0.0,440.974,0.0,22018,138367
3042,0.907389,0.0222344,0.419702,4274.47,4222.01,0.0,52.4538,0.0,0.0,0.0,0.0,138.52,0.0,7209,43731
3043,-0.978069,-0.195157,0.0727587,10189.5,9701.64,0.0,221.572,0.0,144.626,121.706,0.0,331.972,0.0,16447,103969
3044,0.916855,-0.309285,0.252426,7306.74,7091.69,0.0,215.049,0.0,0.0,0.0,0.0,237.732,0.0,11839,74663
3045,-0.234604,-0.200358,-0.951219,2094.92,1745.37,0.0,349.543,0.0,0.0,0.0,0.0,62.6388,0.0,4802,21405
3046,-0.670631,-0.405021,0.62146,2966.21,2884.39,0.0,81.8224,0.0,0.0,0.0,0.0,95.4529,0.0,5214,30368
3047,-0.251723,0.029952,-0.967336,2326.93,1903.63,0.0,423.298,0.0,0.0,0.0,0.0,69.9656,0.0,5253,23727
3048,0.112313,0.974342,-0.195045,10369.4,10206.5,0.0,162.917,0.0,0.0,0.0,0.0,337.54,0.0,16565,105608
3049,0.379902,-0.48011,0.790676,2805.62,2376.94,0.0,428.678,0.0,0.0,0.0,0.0,88.972,0.0,5139,28589
3050,0.302388,-0.745433,-0.594046,2981.24,2896.3,0.0,84.9356,0.0,0.0,0.0,0.0,95.5709,0.0,5308,30486
3051,0.333803,-0.941784,0.0402384,9620.91,9339.83,0.0,281.084,0.0,0.0,0.0,0.0,313.403,0.0,15408,98138
3052,-0.646388,0.736015,0.201157,10473.5,9669.55,0.0,640.634,0.0,145.494,17.8671,0.0,340.323,0.0,16864,106720
3053,0.0688786,0.777441,0.625173,3901.86,2922.42,0.0,526.334,0.0,148.983,304.12,0.0,124.901,0.0,6886,39819
3054,-0.00124541,0.256983,0.966415,2137.56,1752.18,0.0,385.382,0.0,0.0,0.0,0.0,65.1973,0.0,4626,21844
3055,0.58949,0.579696,-0.562542,4644.92,3529.62,0.0,345.617,0.0,149.012,483.45,137.222,150.241,0.0,8153,47613
3056,0.916525,-0.200316,0.346202,5945.14,5194.38,0.0,264.77,0.0,124.515,361.47,0.0,191.498,0.0,9910,60614
3057,-0.529776,-0.465088,-0.709246,2997.65,2519.89,0.0,21.0583,0.0,108.34,42.1993,306.166,96.5877,0.0,5171,30683
