Event,Tot,Cerenkov,compt,CoupledTransportation,eBrem,eIon,msc,muIoni,OpAbsorption,phot,NOfOptPhotons
68,1874.64,1838.48,0,36.1644,0.0,0.0,0.0,0.0,265.869,0.0,2226
69,1713.32,1688.61,0,24.7154,0.0,0.0,0.0,0.0,243.798,0.0,2037
70,2512.91,1837.67,0,135.437,0.0,106.464,433.34,0.0,355.801,0.0,2786
71,2433.25,2196.09,0,68.064,0.0,103.754,65.3472,0.0,344.265,0.0,2932
72,1889.5,1867.01,0,22.4916,0.0,0.0,0.0,0.0,266.632,0.0,2480
73,1663.26,1625.54,0,37.7205,0.0,0.0,0.0,0.0,235.289,0.0,2419
74,2523.02,2342.66,0,59.0084,0.0,36.0516,85.3027,0.0,356.846,0.0,3129
75,1734.43,1702.71,0,31.7234,0.0,0.0,0.0,0.0,245.455,0.0,2320
76,1530.57,1510.68,0,19.8928,0.0,0.0,0.0,0.0,217.636,0.0,1941
77,2846.8,2472.46,0,120.31,0.0,0.0,116.674,137.358,404.039,0.0,3303
78,2036.17,1755.41,0,173.657,0.0,0.0,107.107,0.0,289.309,0.0,2359
79,1676.27,1652.47,0,23.7946,0.0,0.0,0.0,0.0,237.919,0.0,2027
80,1594.52,1573.77,0,20.7508,0.0,0.0,0.0,0.0,225.882,0.0,2037
81,2320.23,1963.03,0,81.3007,154.145,62.3293,59.4159,0.0,329.435,0.0,2759
82,2733.68,2504.55,0,25.4343,0.0,57.0972,6.70474,139.898,386.732,0.0,3206
83,1883.21,1861.61,0,21.5955,0.0,0.0,0.0,0.0,267.766,0.0,2115
84,3142.05,2438.5,0,562.764,0.0,0.0,140.785,0.0,446.433,0.0,3703
85,2487.99,2042.42,0,100.272,0.0,105.637,239.655,0.0,351.388,0.0,2941
86,1898.08,1855.9,0,42.1736,0.0,0.0,0.0,0.0,269.891,0.0,2133
87,1972.05,1952.4,0,19.6494,0.0,0.0,0.0,0.0,279.376,0.0,2216
88,1990.74,1483.89,0,25.2402,0.0,106.64,105.026,269.939,281.958,0.0,2475
