Event,Px,Py,Pz,Tot-OpAbs,Cerenkov,compt,CoupledTransportation,eBrem,eIon,msc,muIoni,OpAbsorption,phot,NOfOptPhotons,NOfScintPhotons
1568,-0.000895503,-0.000215945,-1.0,2276.25,1522.02,0,269.915,0.0,147.058,337.262,0.0,77.0258,0.0,2916,23268
1569,-8.99064e-05,7.37781e-05,-1.0,2008.91,1702.01,0,306.897,0.0,0.0,0.0,0.0,68.0261,0.0,2535,20521
1570,-0.000937097,0.000172592,-1.0,2325.8,2041.61,0,284.192,0.0,0.0,0.0,0.0,78.4988,0.0,2954,23722
1571,0.000874117,0.000529847,-0.999999,3612.21,1813.9,0,458.334,0.0,148.78,328.401,862.796,122.733,0.0,4508,36941
1572,0.000701109,0.00135529,-0.999999,2092.0,1755.66,0,336.343,0.0,0.0,0.0,0.0,70.5591,0.0,2729,21369
1573,0.000133093,-0.000648128,-1.0,2023.43,1772.68,0,250.75,0.0,0.0,0.0,0.0,69.1822,0.0,2517,20698
1574,0.000484522,-0.00101515,-0.999999,2812.47,2289.14,0,523.334,0.0,0.0,0.0,0.0,94.8932,0.0,3524,28545
1575,0.000423159,-0.00104346,-0.999999,2265.79,1930.3,0,335.489,0.0,0.0,0.0,0.0,76.8325,0.0,2829,23092
1576,0.000824324,-0.000429053,-1.0,2101.2,1708.21,0,392.996,0.0,0.0,0.0,0.0,71.1397,0.0,2715,21451
1577,0.000551924,0.000443405,-1.0,1992.81,1705.78,0,287.024,0.0,0.0,0.0,0.0,67.6011,0.0,2507,20370
1578,-0.000500843,-0.000405493,-1.0,3077.61,2485.7,0,277.359,0.0,148.863,76.2772,89.4064,104.805,0.0,3871,31616
1579,-0.000224246,0.000927059,-1.0,2259.69,1981.81,0,277.882,0.0,0.0,0.0,0.0,76.8246,0.0,2780,23062
1580,-0.000196715,-0.000114909,-1.0,1980.11,1738.81,0,241.304,0.0,0.0,0.0,0.0,67.4051,0.0,2380,20222
1581,-0.000575105,-0.000511993,-1.0,3508.1,1773.82,0,359.502,0.0,439.024,935.752,0.0,118.453,0.0,4414,35690
1582,0.000253005,0.000380026,-1.0,2381.92,2090.85,0,291.07,0.0,0.0,0.0,0.0,80.5182,0.0,3006,24247
1583,0.00225799,-0.00106723,-0.999997,2632.9,2017.01,0,615.894,0.0,0.0,0.0,0.0,88.9041,0.0,3295,26775
1584,-0.00155268,-0.000373124,-0.999999,2311.71,2050.81,0,260.897,0.0,0.0,0.0,0.0,78.3532,0.0,2864,23531
1585,0.000604459,-0.000472846,-1.0,2592.48,1782.6,0,276.289,0.0,148.034,385.553,0.0,87.5767,0.0,3188,26375
1586,0.000175719,0.000399454,-1.0,3123.51,2627.77,0,88.1299,0.0,143.633,263.98,0.0,106.348,0.0,3882,31895
1587,5.38373e-05,0.00059917,-1.0,2611.69,2225.95,0,250.744,0.0,123.989,11.0147,0.0,88.2946,0.0,3333,26621
1588,7.74673e-05,0.00153944,-0.999999,2575.35,2305.98,0,29.1764,0.0,58.5613,181.631,0.0,86.9799,0.0,3239,26190
1589,-0.000824325,6.17184e-05,-1.0,2094.38,1829.97,0,264.409,0.0,0.0,0.0,0.0,70.3235,0.0,2741,21382
1590,0.000423334,8.26687e-05,-1.0,2440.55,2047.51,0,393.041,0.0,0.0,0.0,0.0,81.7616,0.0,3200,24842
1591,0.000768519,-0.000762739,-0.999999,2623.9,1940.91,0,682.982,0.0,0.0,0.0,0.0,88.9717,0.0,3241,26673
1592,-7.32173e-05,0.000404647,-1.0,1970.05,1687.11,0,282.944,0.0,0.0,0.0,0.0,66.4792,0.0,2561,20126
1593,0.000184879,-0.000253502,-1.0,2693.17,1552.08,0,376.325,0.0,0.0,317.421,447.342,91.0909,0.0,3374,27471
1594,-0.000161728,-0.000279658,-1.0,3116.73,1572.4,0,528.905,0.0,132.098,414.569,468.761,105.749,0.0,3945,31731
1595,0.00595592,0.000562341,-0.999982,2030.39,1713.97,0,316.425,0.0,0.0,0.0,0.0,66.851,0.0,3039,20744
1596,0.000329816,-0.00024649,-1.0,2387.65,2135.49,0,252.16,0.0,0.0,0.0,0.0,80.5244,0.0,2974,24261
1597,-0.000104782,0.000359009,-1.0,2099.85,1829.85,0,269.999,0.0,0.0,0.0,0.0,70.9991,0.0,2663,21421
1598,0.00063149,0.00131049,-0.999999,1918.12,1657.66,0,260.457,0.0,0.0,0.0,0.0,63.8123,0.0,2813,19622
1599,-4.71893e-06,0.000223596,-1.0,1920.85,1638.56,0,282.286,0.0,0.0,0.0,0.0,64.8747,0.0,2488,19633
1600,0.000463957,-0.000268899,-1.0,2180.81,1877.99,0,302.821,0.0,0.0,0.0,0.0,74.1104,0.0,2756,22256
1601,-0.000842613,-0.00119613,-0.999999,2121.33,1874.68,0,246.65,0.0,0.0,0.0,0.0,71.9038,0.0,2744,21654
1602,0.0,0.0,-1.0,1887.53,1583.79,0,303.748,0.0,0.0,0.0,0.0,64.3775,0.0,2391,19339
1603,0.000122872,-0.000169091,-1.0,2351.44,2030.65,0,320.788,0.0,0.0,0.0,0.0,79.3684,0.0,2953,23961
